uri,stars,archived_file_percent,archived_file_count,total_file_count,f_0,f_1,f_2,f_3,f_4,f_5
http://web.archive.org/web/20231116060934/https://github.com/ajhamdi/semantic-robustness,7,0.0,0,2725,0.0,0.0,0.0,0.0,0.0,
http://web.archive.org/web/20231206142535/https://github.com/pagnani_PlmDCA/jl,50,0.037037037037037035,1,27,0.25,0.0,0.0,,,
http://web.archive.org/web/20221018013439/https://github.com/biolearning-stadius/rdkit,6,0.0,0,3684,0.0,0.0,0.0,0.0,0.0,0.0
http://web.archive.org/web/20230318182109/https://github.com/soedinglab/hh-suite,542,0.017094017094017096,10,585,0.8571428571428571,0.032,0.0,0.0,0.0,0.0
http://web.archive.org/web/20240311034200/https://github.com/raghavendersahdev/Free-Space,12,0.0,0,14,0.0,0.0,0.0,,,
http://web.archive.org/web/20240422121258/https://github.com/siddpiku/CD-LDA,3,0.25,1,4,0.25,,,,,
http://web.archive.org/web/20231116222830/https://github.com/tharindudr/TransQuest,107,0.003169572107765452,2,631,0.14285714285714285,0.0,0.0,0.0,0.009259259259259259,0.0
http://web.archive.org/web/20221209112855/https://github.com/RalfRothenberger/Power-Law-Random-SAT-Generator,14,0.0,0,8,0.0,,,,,
http://web.archive.org/web/20230402062552/https://github.com/chaitjo/learning-tsp,220,0.171875,11,64,0.8333333333333334,0.043478260869565216,0.0,0.0,,
http://web.archive.org/web/20240411190253/https://github.com/HerrmannM/paper-2021-ADTW,1,0.05263157894736842,1,19,0.25,0.0,0.0,,0.0,
http://web.archive.org/web/20230207024653/https://github.com/viibridges/crossnet,53,0.0,0,24,0.0,0.0,0.0,,,
http://web.archive.org/web/20221130105524/https://github.com/Calamari-OCR_calamari_models/experimental,6,0.0,0,167,0.0,0.0,0.0,0.0,,
http://web.archive.org/web/20221006160135/https://github.com/luyug/MORES,10,0.0,0,1,0.0,,,,,
http://web.archive.org/web/20230531084853/https://github.com/enriqueartal/TorsionDivisorsCubicZariskiPairs,1,0.0,0,11,0.0,0.0,,,,
